time,GEN1:Vt,GEN1:delta,GEN1:omega,GEN1:P,GEN2:P,GEN3:P,GEN2:Vt,GEN2:delta,GEN3:delta,GEN2:omega,GEN3:omega,GEN4:delta,GEN5:delta,GEN6:delta,GEN7:delta,GEN8:delta,GEN9:delta,GEN10:delta
0.2,1.0337926319044566,0.15290024015578968,1.0018290233900453,1.9793889283181891,6.216178199782734,7.133644631862843,0.9460327627080869,1.020021372186751,1.0652336315968125,1.0026704160253765,1.0027443034954722,1.130599901007619,1.138380470984544,1.019627550786263,1.1179247885130907,1.1130291138917896,1.2587568713914383,-0.0018510618576811784
0.21,1.033637316415166,0.15998752509486852,1.0018896992010127,1.9872695085724752,6.233534720434187,7.153021997346231,0.9453323863940462,1.029824044056184,1.07529020406891,1.0025847136222175,1.0026508711762687,1.140100905704725,1.1475048420766725,1.027865155220463,1.1275865467760842,1.1198322148826791,1.2677974574023854,7.264710829911437e-05
0.22,1.0334792710672167,0.16730019536929483,1.00194915659839,1.9976986099400873,6.248560025381651,7.169421575659004,0.9446854254901289,1.0392953193099144,1.084986774797064,1.0024965570818896,1.0025551688291063,1.1493938313159062,1.1567976066280408,1.0359573410195562,1.137350281272765,1.1265969576224113,1.2768659888887015,0.0021278762189338414
0.23,1.0333196153136261,0.17483271939334766,1.002007101480619,2.010608643492082,6.261256857878687,7.182861993704279,0.944094605554529,1.0484271616656429,1.094316096306428,1.0024063331440487,1.0024576122856916,1.1584724599401799,1.1662543988859448,1.0439139726186462,1.1472040727712054,1.133329282344583,1.2859560325079833,0.0043185886692388795
0.24,1.0331593671629675,0.18257848088534206,1.0020632474204403,2.0259256013376676,6.271633053961063,7.193368154914254,0.9435623206275813,1.0572129893975188,1.103272478553888,1.0023144270617745,1.0023586137167126,1.1673323629073131,1.1758698046175942,1.0517452760591426,1.157135483718082,1.1400352190644893,1.2950611861628007,0.006648580991852401
0.25,1.032999451719433,0.19052981149866963,1.0021173171420512,2.0435663040785137,6.2797014487177485,7.200971079982654,0.9430906178082961,1.0656476670535446,1.111851772348204,1.002221221747624,1.002258580749356,1.175970862720514,1.1856373908363425,1.0594617206281303,1.1671316207463336,1.1467208323696516,1.304175085327818,0.009121478809028825
0.26,1.0328407076773116,0.1986780295008724,1.0021690440164879,2.0634370322893716,6.285479746807062,7.205707713028459,0.9426811869266091,1.0737274940366486,1.1200513495460624,1.0021270969526683,1.002157915623562,1.1843869844274488,1.195549742161824,1.0670739017241362,1.17717920077685,1.153392166279846,1.3132914102246271,0.01174073300427372
0.27,1.032683892842106,0.20701348426400357,1.0022181735294973,2.0854330182041094,6.288990385864236,7.2076207258897735,0.9423353544544217,1.0814501901770663,1.1278700801701955,1.0020324284758144,1.0020570143833867,1.192581396874333,1.2055985033922767,1.0745924260472597,1.1872646200327055,1.1600551896406843,1.3224038937325182,0.01450961628940532
0.28,1.0325296892863445,0.2155256062702498,1.002264464692129,2.1094384768688377,6.290260410072133,7.206758339669223,0.942054081099273,1.088814878404608,1.1353083065736571,1.001937587399371,1.0019562660986758,1.2005563443578957,1.2157744278300733,1.0820278001606223,1.1973740252895075,1.1667157425084462,1.331506329926104,0.017431220145177794
0.29,1.0323787084690004,0.22420296229414524,1.0023076913742202,2.135326979703615,6.289321363895982,7.203174173986703,0.9418379627011914,1.0958220646088819,1.1423678147515917,1.0018429393460646,1.0018560521116884,1.2083155692456997,1.2260674308698567,1.0893903234089708,1.207493386695974,1.1733794839707683,1.340592583133007,0.020508452115757688
